start,stop,name,tier
54.550678719303626,54.550678719303626,11.) 87.6,Intensity
54.80569097991062,54.80569097991062,12.) 86.5,Intensity
55.16768973971495,55.16768973971495,13.) 82.2,Intensity
55.75383356537309,55.75383356537309,14.) 81.8,Intensity
61.04672726078509,61.04672726078509,11.) 87.3,Intensity
61.29323075475821,61.29323075475821,12.) 85.4,Intensity
61.617688345115994,61.617688345115994,13.) 82.1,Intensity
62.14651208004978,62.14651208004978,14.) 81.7,Intensity
69.07701426835297,69.07701426835297,11.) 82.3,Intensity
69.35729055359798,69.35729055359798,12.) 84.7,Intensity
69.72755540036027,69.72755540036027,13.) 81.8,Intensity
70.28421181831914,70.28421181831914,14.) 81.6,Intensity
76.57455965713623,76.57455965713623,11.) 83.6,Intensity
76.81679799458563,76.81679799458563,12.) 83.6,Intensity
77.16207717535626,77.16207717535626,13.) 86.1,Intensity
77.75778268820982,77.75778268820982,14.) 81.4,Intensity
84.93729562418824,84.93729562418824,11.) 84.4,Intensity
85.20016671283898,85.20016671283898,12.) 83.8,Intensity
85.50739729769954,85.50739729769954,13.) 83.9,Intensity
86.06106952817017,86.06106952817017,14.) 84.7,Intensity
95.79056215494461,95.79056215494461,11.) 87.1,Intensity
96.05922462353014,96.05922462353014,12.) 85.2,Intensity
96.37729217153564,96.37729217153564,13.) 83.1,Intensity
96.92846101893383,96.92846101893383,14.) 81.8,Intensity
102.50535189701462,102.50535189701462,11.) 86.7,Intensity
102.774886683608,102.774886683608,12.) 85.3,Intensity
103.1031284340414,103.1031284340414,13.) 82.9,Intensity
103.64756067992428,103.64756067992428,14.) 80.9,Intensity
110.58618646787413,110.58618646787413,11.) 84.4,Intensity
110.81895496935275,110.81895496935275,12.) 85.3,Intensity
111.19138457171854,111.19138457171854,13.) 82.7,Intensity
111.70347527497152,111.70347527497152,14.) 82.0,Intensity
118.3890721923334,118.3890721923334,11.) 83.6,Intensity
118.66307815575651,118.66307815575651,12.) 85.0,Intensity
118.99921337832787,118.99921337832787,13.) 85.1,Intensity
119.54828894006346,119.54828894006346,14.) 82.2,Intensity
126.048666913103,126.048666913103,11.) 84.5,Intensity
126.29143872884895,126.29143872884895,12.) 84.7,Intensity
126.612472511513,126.612472511513,13.) 83.1,Intensity
127.13954290096146,127.13954290096146,14.) 86.3,Intensity
138.20642933731654,138.20642933731654,11.) 85.7,Intensity
138.45376212378562,138.45376212378562,12.) 84.1,Intensity
138.7704111051887,138.7704111051887,13.) 83.4,Intensity
139.29343330332713,139.29343330332713,14.) 82.4,Intensity
143.55813123412096,143.55813123412096,11.) 87.2,Intensity
143.7834973462746,143.7834973462746,12.) 85.3,Intensity
144.13786612952305,144.13786612952305,13.) 82.5,Intensity
144.68185329679045,144.68185329679045,14.) 81.2,Intensity
150.77445217850087,150.77445217850087,11.) 83.8,Intensity
151.00506975091434,151.00506975091434,12.) 85.3,Intensity
151.35759450486955,151.35759450486955,13.) 83.6,Intensity
151.89411244181017,151.89411244181017,14.) 79.9,Intensity
157.79726240170856,157.79726240170856,11.) 85.0,Intensity
158.0358463646046,158.0358463646046,12.) 85.7,Intensity
158.36350167364847,158.36350167364847,13.) 85.4,Intensity
158.9281503858357,158.9281503858357,14.) 82.0,Intensity
164.518324195434,164.518324195434,11.) 84.5,Intensity
164.74621969334993,164.74621969334993,12.) 86.4,Intensity
165.04591788239003,165.04591788239003,13.) 82.2,Intensity
165.5828771377536,165.5828771377536,14.) 86.6,Intensity
